層,軸,代碼,顯示名稱,一句話定義,判準,處置,具體例子,邊界說明
分類法,domain,general,一般事務,上面五類都不是的日常或行政事務。,,,查機票價格、問地址格式、規劃社團表演。,**不是垃圾桶**：只有內容清楚但不屬於前五類時才用。看不出在做什麼要用 unknown。★ 已知弱點：本值混了兩種不均質的東西——**實用事務**（查機票、問地址、寫信）與**娛樂社群**（社群機器人的內容生成與狀態維護）。備用條件：娛樂那類累積 **10 筆以上「且」涉及 2 組以上遮罩帳號** 才拆成兩個值並重標；任一條件不滿足則不拆，但報告中必須註明 general 的組成不均質。帳號數這個條件是必要的：若 10 筆全來自同一組遮罩帳號，那描述的是**一個人的專案**而不是校內樣態，拆出來會讓一個人的興趣在分類表上看起來像一個使用類型。（2026-08-26 進度：3 筆 / 2 組遮罩帳號——帳號條件已滿足，筆數未達。）★「2 組以上遮罩帳號」這個條件擋得住**單人主導**，擋不住**單一小團體主導**：目前那 2 組同系、同學位、僅差一學年，很可能是同一個小圈子。若最後真的拆了，報告必須註明這一類集中在少數幾組同系帳號，不是校內普遍樣態。
分類法,domain,unknown,無法判斷（domain）,看得出在做什麼，但看不出用在什麼事情上。,,,—,與 role 的 unknown 對稱，兩軸各自可判。
分類法,domain,not_applicable,不需判定,這筆請求本來就沒有「用途」可言，不必判 domain。,,,把文字轉成向量、AI 工具自己產生的標題、流程中繼處理的外框。,與 unknown 分開填，不可互相取代：unknown 是「該判但判不出來」，本值是「本來就不用判」。合併會讓 unknown 的計數混入非分類問題，使分類器的能力上限看起來比實際差——理由同 status 的 not_applicable。同一條原則在成本那邊也用過：pricing_status 分開 unpriced_local（真的不花錢）與 unpriced_no_table（不知道），同樣是沒有值、來源不同。
分類法,status,decided,已判定,role 與 domain 都判出來了。,,,—,兩軸皆非 unknown 時填這個。
分類法,status,partial,部分判定,role 與 domain 至少有一軸判得出來。,,,「RF fast path 這個子章節，用實驗當 baseline 即可」→ domain=research（顯然是論文寫作），role 判不出（要它寫、要它改、還是要它評估看不出來）；檔案路徑 +「請使用附件這個長庚大學 Logo」+ <image> 然後沒了 → domain 看得出是招生／行政素材，role 判不出。,判準是**還能不能貢獻資訊**，不是內容完不完整：任一軸判得出來就用 partial，判不出的那軸填 unknown。★ 第二個例子要特別小心：domain=general（行政事務）正是校方最關心、目前 0 命中的那一格。把它丟進 insufficient_context 會浪費掉一筆對那個統計有貢獻的資料——而那格的 0 究竟是「沒人這樣用」還是「被我們自己丟掉了」，事後分不出來。
分類法,status,not_applicable,不需判定,這類請求本來就沒有『用途』可言。,,,把文字轉成向量、AI 工具自己產生的標題、流程中繼處理的外框。,**類別問題不是失敗**。不要併進 ambiguous——那會讓分類器的能力上限看起來比實際差。
分類法,status,insufficient_context,資訊不足,role 與 domain **兩軸都**判不出來。,,,只有檔案清單加「## My request for Codex:」，後面就沒了——兩軸都無從判起。,**資料層限制不是分析品質**：lite schema 沒有 turn_id，無法把同一輪對話接起來。補齊上游欄位能減少，換分類器不能。只要有一軸判得出來就用 partial，不要用這個——這條的佔比是拿來量「缺 turn_id 讓我們損失多少」的，灌水會讓那個論證失去力量。
分類法,status,ambiguous,內容模糊,有完整內容、看得到前後文，但仍看不出在做什麼。,,,—,**這才是分類器的能力上限**。它的佔比是要報的數字，不要拿來吸收上面兩類。
分流判準,frame_owner,tool,—,證據顯示此外框跨越沒有理由共用程式碼的使用者,散布度三條件同時成立，同 disposition=tool_injected。,,—,判準是**散布度**，不是文字的形狀。理由：使用者選了它、設定了它、消費它的輸出。舊定義（工具附加 vs 使用者自己寫）在日誌裡**不可判**——使用者裝了一個套件、用了它的預設模板，那個模板是誰寫的無從判定。所以換成可觀察的散布度判準。★ 反例警示：model種類 單獨不可當散布代理。已知反例是單一 uid 用 48 種模型做可用性巡檢（51 筆內容 51 次請求）——那是一個人在試模型，不是跨使用者共用。三個條件缺一不可，見 disposition=tool_injected。
分流判準,frame_owner,user,—,其餘；包含使用者採用他人撰寫的模板,其餘。不必證明模板是這個人寫的——證不了。,,—,判準是**散布度**，不是文字的形狀。理由：使用者選了它、設定了它、消費它的輸出。舊定義（工具附加 vs 使用者自己寫）在日誌裡**不可判**——使用者裝了一個套件、用了它的預設模板，那個模板是誰寫的無從判定。所以換成可觀察的散布度判準。★ 反例警示：model種類 單獨不可當散布代理。已知反例是單一 uid 用 48 種模型做可用性巡檢（51 筆內容 51 次請求）——那是一個人在試模型，不是跨使用者共用。三個條件缺一不可，見 disposition=tool_injected。
分流判準,frame_owner,none,—,不是外框，聚類抓錯了,群內成員的共同前綴不是外框，是內容碰巧相似。,,—,與 tool／user 的差別在有沒有外框，不在外框屬於誰。
分流判準,frame_owner,unsure,—,,,不計入任何一格的分母。出現即代表這一群要人看。,—,**與同軸其他值不同層：那些是分類，這是棄權。** 移除它會讓模型被迫在分類值裡挑一個，而挑出來的看起來跟有把握的判定一模一樣——輸出檔上分不出「判定為 X」與「被迫填 X」。 所以 frame_owner 的值域大小要講成「三個分類值 + 一個棄權值」，不要寫成「四個值」。
分流判準,disposition,tool_injected,—,客戶端或工具自動注入，無人撰寫、無人閱讀,中繼資料，三者同時：uid數 ≥ 10 且 unit_type種類 ≥ 3 且 model種類 ≥ 4。,移出分類母數。,—,三個條件缺一不可。model種類 單獨不可用——已知反例是單一 uid 用 48 種模型做可用性巡檢（51 筆內容 51 次請求），那是一個人在試模型不是跨使用者共用。已知符合者：A001、A002、A013、A036。與 user_envelope 的分界在信封裡有沒有東西——信封即全部是本值。
分流判準,disposition,batch_project,—,使用者的批次作業：一人、一份有界語料、一個目的,uid數 ≤ 3，時間跨度有界，載荷同型（單一或雙模型、單一 request_style）。,留在母數；三軸在群層判定；N 筆請求記為 1 個意圖。,—,與 service_relay 的分界在**載荷來源**：語料由使用者自己提供是本值，由不特定第三方即時輸入是 service_relay。
分流判準,disposition,service_relay,—,使用者部署的服務，每筆由不特定第三方觸發,載荷是外部提問而非使用者自己的材料。★ 這一項無法從中繼資料判定，需要看內容——本值的已知弱點。,留在母數。用途是「營運一個服務」；個別請求的意圖不可歸屬——觸發者不是 gateway 使用者。,—,uid數 通常是 1（營運者），**不要被它誤導成 batch_project**——分界在載荷來源不在 uid 數。
分流判準,disposition,user_envelope,—,工具信封裝著使用者的真實載荷,外框跨使用者散布（同 tool_injected 的方向）但載荷是使用者自己的材料；前綴佔中位內容長度比例 < 0.1 而內容長度大。,留在母數。invocation 在群層判，role / domain 需抽樣。,—,與 tool_injected 的分界在**信封裡有沒有東西**：信封即全部是 tool_injected，信封裝著材料是本值。
分流判準,disposition,insufficient,—,prompt_text 不含足以判斷的內容,prompt_tokens > 4 × prompt_text_len，或共同前綴是資料結構而非指令。,留在母數但標為不可判定，計入不可判定率。,—,"**這不是模型判不出來，是材料本身缺了系統指示與對話史。** 與 status=insufficient_context 同源但層不同——那個是內容分類的，這個是群集分流的。母數上限見 ref/annotation_protocol.md 第一節〈可分類母數 17,365 的可分類性上限〉。"
分流判準,disposition,unsure,—,,,不計入任何一格的分母。出現即代表這一群要人看。,—,**與同軸其他值不同層：那些是分類，這是棄權。** 移除它會讓模型被迫在分類值裡挑一個，而挑出來的看起來跟有把握的判定一模一樣——輸出檔上分不出「判定為 X」與「被迫填 X」。 所以 disposition 的值域大小要講成「五個分類值 + 一個棄權值」，不要寫成「六個值」。
分流判準,axis_level,all_three,—,外框資訊足以在群層判定三軸,外框載明用途、角色與領域，且群內成員在這三軸上同質。,三軸在群層判定一次；N 筆請求記為 1 個意圖。,—,對應 disposition=batch_project。
分流判準,axis_level,invocation_only,—,只判得出 invocation，role/domain 需抽樣,外框說明了呼叫的形式，但決定 role 與 domain 的是信封裡的載荷。,invocation 在群層判定；role 與 domain 進抽樣佇列，不在群層填。,—,對應 disposition=user_envelope。★ 舊值域這一格同時裝著 service_relay，那是撞號：service_relay 的載荷**不得**抽樣判定（意圖不屬於本 gateway 使用者），已改判 not_attributable。本值的意思現在單一：載荷可判，只是要另外判。
分流判準,axis_level,not_attributable,—,意圖的歸屬對象不在本 gateway 的使用者母體內,載荷由不特定第三方即時輸入；gateway 使用者的意圖是「營運一個服務」，不是載荷所講的那件事。,群層記 1 個意圖（營運服務）。載荷**不抽樣、不判 role/domain**；計入不可歸屬量，不計入不可判定量。,—,**這不是資訊不足，是意圖屬於不使用本 gateway 的第三方。** 與 disposition=service_relay 對應。三者不可互相取代：not_attributable 是「材料夠，但判出來的意圖不算在我們的使用者頭上」，insufficient_data 是「該判，而材料被上游拿掉了」，none 是「材料在、歸屬也對，就是判不出來」。合併會讓 none 的計數混入兩種非分類問題，使分類器的能力上限看起來比實際差——理由同 status 的 not_applicable。同一條原則在成本那邊也用過：pricing_status 分開 unpriced_local（真的不花錢）與 unpriced_no_table（不知道），同樣是沒有值、來源不同。
分流判準,axis_level,insufficient_data,—,prompt_text 缺少判斷所需的材料,prompt_tokens > 4 × prompt_text_len，或共同前綴是資料結構而非指令。同 disposition=insufficient。,留在母數但標為不可判定，計入不可判定率。補上游欄位能減少，換分類器不能。,—,"**成因是上游 schema——lite 的 request 物件沒有 messages／system／instructions。** 與 disposition=insufficient 對應；母數上限見 ref/annotation_protocol.md 第一節〈可分類母數 17,365 的可分類性上限〉。三者不可互相取代：not_attributable 是「材料夠，但判出來的意圖不算在我們的使用者頭上」，insufficient_data 是「該判，而材料被上游拿掉了」，none 是「材料在、歸屬也對，就是判不出來」。合併會讓 none 的計數混入兩種非分類問題，使分類器的能力上限看起來比實際差——理由同 status 的 not_applicable。同一條原則在成本那邊也用過：pricing_status 分開 unpriced_local（真的不花錢）與 unpriced_no_table（不知道），同樣是沒有值、來源不同。"
分流判準,axis_level,none,—,群層判不出任何一軸，且不屬於上述兩種成因,材料齊、歸屬在母體內，但外框與載荷都看不出用途。,計入分類器的能力上限；這一格的佔比是要報的數字，不要拿它去吸收上面兩類。,—,**它現在的意思是「判不出來，而且不知道為什麼」，出現時本身就是要追的訊號，不是一個安全的預設值。** 不要把不確定的案例塞進來——那用 unsure。三者不可互相取代：not_attributable 是「材料夠，但判出來的意圖不算在我們的使用者頭上」，insufficient_data 是「該判，而材料被上游拿掉了」，none 是「材料在、歸屬也對，就是判不出來」。合併會讓 none 的計數混入兩種非分類問題，使分類器的能力上限看起來比實際差——理由同 status 的 not_applicable。同一條原則在成本那邊也用過：pricing_status 分開 unpriced_local（真的不花錢）與 unpriced_no_table（不知道），同樣是沒有值、來源不同。 ★ 未解決的殘留撞號：disposition=tool_injected（本來就不用判）目前仍會落在本值。新值域拆掉了 insufficient 與 service_relay 兩個成因，沒有拆掉「本來就不用判」。在裁定之前，讀 none 的佔比要先扣掉 tool_injected 的群。
分流判準,axis_level,unsure,—,,,不計入任何一格的分母。出現即代表這一群要人看。,—,**與同軸其他值不同層：那些是分類，這是棄權。** 移除它會讓模型被迫在分類值裡挑一個，而挑出來的看起來跟有把握的判定一模一樣——輸出檔上分不出「判定為 X」與「被迫填 X」。 所以 axis_level 的值域大小要講成「五個分類值 + 一個棄權值」，不要寫成「六個值」——那會把棄權當成一種判定結果來報。
